Drug_Index,Protein_Index,Affinity
0,0,7.366531544420414
0,1,5.0
0,3,5.0
0,5,5.0
0,7,5.0
0,8,5.0
0,10,5.0
0,12,5.0
0,13,5.0
0,15,5.0
0,16,5.0
0,17,5.0
0,18,5.0
0,19,5.0
0,20,5.0
0,21,5.0
0,22,5.0
0,23,5.0
0,24,7.119186407719209
0,25,5.5376020021010435
0,26,6.7447274948966935
0,27,5.0
0,28,5.0
0,29,5.0
0,30,5.0
0,31,5.0
0,32,5.0
0,33,5.0
0,34,5.0
0,35,5.0
0,36,5.075720713938118
0,37,5.0
0,38,6.920818753952375
0,39,5.0
0,40,5.0
0,41,5.0
0,42,5.0
0,43,5.0
0,44,5.0
0,45,5.0
0,46,5.0
0,47,5.0
0,48,5.0
0,49,5.0
0,50,5.0
0,51,5.619788758288394
0,52,5.0
0,53,6.494850021680094
0,54,6.013228265733755
0,55,6.568636235841013
0,56,6.050609993355088
0,57,6.1487416512809245
0,58,6.0915149811213505
0,59,6.130768280269024
0,60,5.0
0,61,5.0
0,62,5.0
0,63,5.508638306165727
0,64,5.886056647693163
0,65,5.0
0,66,5.568636235841013
0,69,5.0
0,70,7.154901959985743
0,71,5.455931955649724
0,72,6.7447274948966935
0,73,5.0
0,74,6.154901959985743
0,75,5.958607314841775
0,76,6.698970004336019
0,77,5.0
0,78,5.008773924307505
0,79,7.886056647693163
0,80,8.853871964321762
0,81,9.292429823902063
0,82,6.795880017344075
0,83,9.275724130399212
0,84,5.0
0,85,5.0
0,86,5.6777807052660805
0,87,5.337242168318426
0,88,6.6777807052660805
0,89,6.920818753952375
0,90,6.275724130399211
0,91,6.42021640338319
0,92,6.040958607678906
0,93,5.259637310505756
0,94,5.42021640338319
0,95,5.0
0,96,5.795880017344075
0,97,5.6020599913279625
0,98,5.920818753952375
0,99,5.0
0,100,5.0
0,101,5.0
0,102,5.0
0,103,5.0
0,104,5.0
0,105,7.036212172654444
0,106,6.337242168318426
0,107,5.2839966563652006
0,108,5.2839966563652006
0,109,8.67778070526608
0,110,8.4089353929735
0,111,7.200659450546418
0,112,5.0
0,113,5.0
0,114,5.0
0,115,5.0
0,116,5.0
0,117,5.0
0,118,5.0
0,119,5.0
0,120,5.0
0,121,5.0
0,122,5.0
